date,pollutant,units,avg_value,min_value,max_value,measurement_count,,
2025/12/07,o3,ppm,0.03,0.02,0.05,22,,"PM2.5�follows a similar but less dramatic pattern, peaking at�22.53 �g/m� on January 1st"
2025/12/07,pm10,µg/m³,7.5,3,20,24,,"Both pollutants show an�upward trend mid-to-late December, with elevated levels from December 15-19 and December 22-24"
2025/12/07,pm25,µg/m³,2.69,1.3,8.3,24,,"The highest pollution episode occurred December 18-19, with PM10 reaching 36-51 �g/m�"
2025/12/07,so2,ppm,0,0,0,21,,
2025/12/08,co,ppm,0.29,0.1,0.9,24,,Gaseous Pollutants:
2025/12/08,no2,ppm,0.03,0.01,0.12,24,,
2025/12/08,o3,ppm,0.02,0,0.04,24,,"Carbon monoxide�ranges from 0.11 to 0.57 ppm, with the highest reading on January 1st"
2025/12/08,pm10,µg/m³,13.67,5,32,24,,Nitrogen dioxide�peaks at 0.05 ppm on December 22-24 and December 30th
2025/12/08,pm25,µg/m³,4.44,1.9,8.5,24,,Ozone�remains relatively stable at 0.01-0.04 ppm throughout
2025/12/08,so2,ppm,0,0,0,23,,Sulfur dioxide�shows zero detection across the entire period
2025/12/09,co,ppm,0.24,0.1,1.1,24,,
2025/12/09,no2,ppm,0.02,0,0.05,21,,"The data suggests potential pollution events or weather conditions that trapped particulates during mid-to-late December, with air quality generally improving toward the end of the month before spiking again on New Year's Day."
2025/12/09,o3,ppm,0.03,0,0.04,24,,
2025/12/09,pm10,µg/m³,11.09,3,38,22,,
2025/12/09,pm25,µg/m³,2.93,1.5,7.8,22,,
2025/12/09,so2,ppm,0,0,0,23,,
2025/12/10,co,ppm,0.19,0.1,0.8,24,,
2025/12/10,no2,ppm,0.01,0,0.1,20,,
2025/12/10,o3,ppm,0.03,0,0.04,23,,
2025/12/10,pm10,µg/m³,15.17,6,66,24,,
2025/12/10,pm25,µg/m³,3.13,1.6,10.4,24,,
2025/12/10,so2,ppm,0,0,0,24,,
2025/12/11,co,ppm,0.23,0,0.6,24,,
2025/12/11,no2,ppm,0.03,0,0.07,24,,
2025/12/11,o3,ppm,0.02,0,0.04,24,,
2025/12/11,pm10,µg/m³,23.67,3,70,24,,
2025/12/11,pm25,µg/m³,4.5,0.9,10.3,24,,
2025/12/11,so2,ppm,0,0,0,23,,
2025/12/12,co,ppm,0.16,0.1,0.4,24,,
2025/12/12,no2,ppm,0.02,0.01,0.06,24,,
2025/12/12,o3,ppm,0.02,0,0.04,24,,
2025/12/12,pm10,µg/m³,12.92,3,55,24,,
2025/12/12,pm25,µg/m³,2.77,1.2,8,24,,
2025/12/12,so2,ppm,0,0,0,23,,
2025/12/13,co,ppm,0.37,0.1,0.8,24,,
2025/12/13,no2,ppm,0.03,0.01,0.06,22,,
2025/12/13,o3,ppm,0.01,0,0.04,24,,
2025/12/13,pm10,µg/m³,19.63,12,31,24,,
2025/12/13,pm25,µg/m³,5.53,2.5,9.4,24,,
2025/12/13,so2,ppm,0,0,0,22,,
2025/12/14,co,ppm,0.28,0.1,0.6,22,,
2025/12/14,no2,ppm,0.03,0.01,0.08,20,,
2025/12/14,o3,ppm,0.02,0,0.04,22,,
2025/12/14,pm10,µg/m³,19.71,15,27,24,,
2025/12/14,pm25,µg/m³,6.6,3.7,14.4,24,,
2025/12/14,so2,ppm,0,0,0,21,,
2025/12/15,co,ppm,0.32,0.1,0.6,24,,
2025/12/15,no2,ppm,0.04,0.01,0.09,23,,
2025/12/15,o3,ppm,0.01,0,0.03,24,,
2025/12/15,pm10,µg/m³,28.71,10,70,24,,
2025/12/15,pm25,µg/m³,9.11,3.8,18.3,24,,
2025/12/15,so2,ppm,0,0,0,16,,
2025/12/16,co,ppm,0.3,0.1,1.1,24,,
2025/12/16,no2,ppm,0.02,0.01,0.07,22,,
2025/12/16,o3,ppm,0.02,0,0.04,24,,
2025/12/16,pm10,µg/m³,23.79,6,63,24,,
2025/12/16,pm25,µg/m³,7.11,2.1,20.9,24,,
2025/12/16,so2,ppm,0,0,0,20,,
2025/12/17,co,ppm,0.32,0.1,0.8,24,,
2025/12/17,no2,ppm,0.04,0.01,0.12,23,,
2025/12/17,o3,ppm,0.02,0,0.04,24,,
2025/12/17,pm10,µg/m³,26.79,9,95,24,,
2025/12/17,pm25,µg/m³,5.76,2.9,13.1,24,,
2025/12/17,so2,ppm,0,0,0,24,,
2025/12/18,co,ppm,0.16,0.1,0.5,24,,
2025/12/18,no2,ppm,0.01,0,0.04,24,,
2025/12/18,o3,ppm,0.03,0.01,0.04,24,,
2025/12/18,pm10,µg/m³,36.13,6,106,24,,
2025/12/18,pm25,µg/m³,4.76,1.3,9.4,24,,
2025/12/18,so2,ppm,0,0,0,24,,
2025/12/19,co,ppm,0.35,0.1,1,21,,
2025/12/19,no2,ppm,0.04,0.01,0.12,21,,
2025/12/19,o3,ppm,0.02,0,0.04,21,,
2025/12/19,pm10,µg/m³,51.13,21,94,24,,
2025/12/19,pm25,µg/m³,9.75,3.3,20.2,24,,
2025/12/19,so2,ppm,0,0,0,20,,
2025/12/20,co,ppm,0.22,0.1,0.4,24,,
2025/12/20,no2,ppm,0.02,0.01,0.05,23,,
2025/12/20,o3,ppm,0.03,0.01,0.04,23,,
2025/12/20,pm10,µg/m³,18.83,8,36,24,,
2025/12/20,pm25,µg/m³,3.96,1.8,9.7,24,,
2025/12/20,so2,ppm,0,0,0,21,,
2025/12/21,co,ppm,0.27,0,0.5,19,,
2025/12/21,no2,ppm,0.03,0.01,0.05,17,,
2025/12/21,o3,ppm,0.02,0,0.04,19,,
2025/12/21,pm10,µg/m³,17.38,7,41,21,,
2025/12/21,pm25,µg/m³,5.28,1.5,9.3,21,,
2025/12/21,so2,ppm,0,0,0,20,,
2025/12/22,co,ppm,0.4,0.1,1,24,,
2025/12/22,no2,ppm,0.05,0.01,0.13,24,,
2025/12/22,o3,ppm,0.01,0,0.03,24,,
2025/12/22,pm10,µg/m³,28.92,9,87,24,,
2025/12/22,pm25,µg/m³,8.1,1.5,14.1,24,,
2025/12/22,so2,ppm,0,0,0,22,,
2025/12/23,co,ppm,0.35,0.1,0.7,24,,
2025/12/23,no2,ppm,0.04,0.01,0.1,24,,
2025/12/23,o3,ppm,0.01,0,0.03,24,,
2025/12/23,pm10,µg/m³,19.88,9,29,24,,
2025/12/23,pm25,µg/m³,5.86,2.3,8.9,24,,
2025/12/23,so2,ppm,0,0,0,24,,
2025/12/24,co,ppm,0.48,0.1,1.1,24,,
2025/12/24,no2,ppm,0.05,0.01,0.09,24,,
2025/12/24,o3,ppm,0.01,0,0.03,24,,
2025/12/24,pm10,µg/m³,38.67,11,65,24,,
2025/12/24,pm25,µg/m³,10.9,3.1,23.7,24,,
2025/12/24,so2,ppm,0,0,0,22,,
2025/12/25,co,ppm,0.2,0,0.6,24,,
2025/12/25,no2,ppm,0.02,0.01,0.05,23,,
2025/12/25,o3,ppm,0.02,0,0.04,24,,
2025/12/25,pm10,µg/m³,21.04,8,46,24,,
2025/12/25,pm25,µg/m³,7.25,3.4,17.4,24,,
2025/12/25,so2,ppm,0,0,0,21,,
2025/12/26,co,ppm,0.26,0,0.5,24,,
2025/12/26,no2,ppm,0.03,0,0.06,24,,
2025/12/26,o3,ppm,0.02,0,0.04,24,,
2025/12/26,pm10,µg/m³,17.46,6,38,24,,
2025/12/26,pm25,µg/m³,8.51,1.5,19.2,24,,
2025/12/26,so2,ppm,0,0,0,24,,
2025/12/27,co,ppm,0.29,0,0.8,24,,
2025/12/27,no2,ppm,0.03,0,0.07,23,,
2025/12/27,o3,ppm,0.01,0,0.04,24,,
2025/12/27,pm10,µg/m³,16.33,3,37,24,,
2025/12/27,pm25,µg/m³,6.29,0.8,16.5,24,,
2025/12/27,so2,ppm,0,0,0,24,,
2025/12/28,co,ppm,0.15,0.1,0.4,22,,
2025/12/28,no2,ppm,0.01,0.01,0.03,19,,
2025/12/28,o3,ppm,0.03,0.01,0.05,22,,
2025/12/28,pm10,µg/m³,7.79,3,25,24,,
2025/12/28,pm25,µg/m³,3.69,1.3,16.2,24,,
2025/12/28,so2,ppm,0,0,0,21,,
2025/12/29,co,ppm,0.13,0.1,0.2,24,,
2025/12/29,no2,ppm,0.01,0.01,0.02,24,,
2025/12/29,o3,ppm,0.03,0.02,0.04,24,,
2025/12/29,pm10,µg/m³,10.21,4,19,24,,
2025/12/29,pm25,µg/m³,3.33,1.3,9.7,24,,
2025/12/29,so2,ppm,0,0,0,20,,
2025/12/30,co,ppm,0.38,0.1,0.8,24,,
2025/12/30,no2,ppm,0.05,0.01,0.11,21,,
2025/12/30,o3,ppm,0.01,0,0.04,24,,
2025/12/30,pm10,µg/m³,23.5,14,37,22,,
2025/12/30,pm25,µg/m³,8.96,3.1,19.1,22,,
2025/12/30,so2,ppm,0,0,0,21,,
2025/12/31,co,ppm,0.27,0.1,0.6,24,,
2025/12/31,no2,ppm,0.03,0.01,0.05,24,,
2025/12/31,o3,ppm,0.02,0,0.04,24,,
2025/12/31,pm10,µg/m³,18.21,5,37,24,,
2025/12/31,pm25,µg/m³,6.49,2.1,16.7,24,,
2025/12/31,so2,ppm,0,0,0,23,,
2026/01/01,co,ppm,0.57,0.2,1,8,,
2026/01/01,no2,ppm,0.04,0.02,0.07,8,,
2026/01/01,o3,ppm,0.01,0,0.03,8,,
2026/01/01,pm10,µg/m³,44.13,19,71,8,,
2026/01/01,pm25,µg/m³,22.53,4.3,39.9,8,,
2026/01/01,so2,ppm,0,0,0,8,,
